Cheerios,0.28,1 Oz,111,0,1.8,307.6,19.6,2,4.3,1252.2,15.1,48.6,4.5
"Corn Flks, Kellogg'S",0.28,1 Oz,110.5,0,0.1,290.5,24.5,0.7,2.3,1252.2,15.1,0.9,1.8
"Raisin Brn, Kellg'S",0.34,1.3 Oz,115.1,0,0.7,204.4,27.9,4,4,1250.2,0,12.9,16.8
Rice Krispies,0.32,1 Oz,112.2,0,0.2,340.8,24.8,0.4,1.9,1252.2,15.1,4,1.8
Special K,0.38,1 Oz,110.8,0,0.1,265.5,21.3,0.7,5.6,1252.2,15.1,8.2,4.5
Oatmeal,0.82,1 C,145.1,0,2.3,2.3,25.3,4,6.1,37.4,0,18.7,1.6
"Malt-O-Meal,Choc",0.52,1 C,607.2,0,1.5,16.5,128.2,0,17.3,0,0,23.1,47.2
PizzaW/Pepperoni,0.44,1 Slice,181,14.2,7,267,19.9,0,10.1,281.9,1.6,64.6,0.9
Taco,0.59,1 Small Taco,369.4,56.4,20.6,802,26.7,0,20.7,855,2.2,220.6,2.4
HamburgerW/Toppings,0.83,1 Burger,275,42.8,10.2,563.9,32.7,0,13.6,126.3,2.6,51.4,2.5
"Hotdog, Plain",0.31,1 Hotdog,242.1,44.1,14.5,670.3,18,0,10.4,0,0.1,23.5,2.3
Couscous,0.39,1/2 Cup,100.8,0,0.1,4.5,20.9,1.3,3.4,0,0,7.2,0.3
White Rice,0.08,1/2 Cup,102.7,0,0.2,0.8,22.3,0.3,2.1,0,0,7.9,0.9
